,id,category,list_type,beds,baths,sq_ft_price,price_KES,district,neighborhood,street,latitude,longitude,clean_grab
1229,3410817,Flat & Apartment,For Rent, 3,0,0,230000,Westlands,Westlands Area,0,-1.2675001,36.812022,OK
1230,3410980,Flat & Apartment,For Rent, 3,0,0,135000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1231,3410981,Flat & Apartment,For Rent, 5,0,0,170000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
1232,3409135,Flat & Apartment,For Rent, 3,0,0,160000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
1233,3412468,Flat & Apartment,For Rent, 2,0,0,120000,Dagoretti North,Kileleshwa,0,-1.2807389,36.7816864,OK
1234,3410970,Flat & Apartment,For Rent, 1,0,0,80000,Thika Road,0,0,-1.2163932,36.8949246,OK
1235,3408622,Flat & Apartment,For Rent, 2, 2,0,140000,Westlands,Westlands Area,Mpaka Road,-1.2657173,36.8035126,OK
1236,3410408,Flat & Apartment,For Rent, 3, 4,0,250000,Westlands,Parklands,0,-1.2598822,36.8178918,OK
1237,3405774,Flat & Apartment,For Rent, 3, 3,0,230000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1238,3411301,Flat & Apartment,For Rent, 4, 3,39,85000,Kiambu Road,Fourways Junction,0,-1.2131612,36.8379811,OK
1239,3389238,Flat & Apartment,For Rent, 1,0,0,170000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1240,3413543,Flat & Apartment,For Rent, 2, 2,0,240000,Westlands,Waiyaki Way,0,-1.2685652,36.8057413,OK
1241,3412370,Flat & Apartment,For Rent, 3, 4,66,200000,Westlands,Parklands,Limuru Road,-1.2620531,36.8255104,OK
1242,3403096,Flat & Apartment,For Rent, 1, 1,67,85000,Dagoretti North,Dennis Pritt,0,-1.286516,36.7988595,OK
1243,3411371,Flat & Apartment,For Rent, 5,0,0,300000,Westlands,Parklands,0,-1.2598822,36.8178918,OK
1244,3410773,Flat & Apartment,For Rent, 4,0,0,150000,Westlands,General Mathenge,0,-1.2539757,36.7996946,OK
1245,3429615,Studio,For Rent, 1, 1,46,13000,Dagoretti North,Naivasha Road,Darajani,-1.2809462,36.7366141,OK
1246,3410035,Flat & Apartment,For Rent, 3,0,0,160000,Dagoretti North,Lavington,0,-1.278937,36.7777984,OK
1247,3410973,Flat & Apartment,For Rent, 2,0,0,100000,Thika Road,0,0,-1.2163932,36.8949246,OK
1248,3374884,Flat & Apartment,For Rent, 3, 3,47,65000,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),-1.2582074,36.7224933,OK
1249,3410817,Flat & Apartment,For Rent, 3,0,0,230000,Westlands,Westlands Area,0,-1.2675001,36.812022,OK
1250,3410980,Flat & Apartment,For Rent, 3,0,0,135000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1251,3410981,Flat & Apartment,For Rent, 5,0,0,170000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
1252,3409135,Flat & Apartment,For Rent, 3,0,0,160000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
1253,3412468,Flat & Apartment,For Rent, 2,0,0,120000,Dagoretti North,Kileleshwa,0,-1.2807389,36.7816864,OK
1254,3410970,Flat & Apartment,For Rent, 1,0,0,80000,Thika Road,0,0,-1.2163932,36.8949246,OK
1255,3408622,Flat & Apartment,For Rent, 2, 2,0,140000,Westlands,Westlands Area,Mpaka Road,-1.2657173,36.8035126,OK
1256,3410408,Flat & Apartment,For Rent, 3, 4,0,250000,Westlands,Parklands,0,-1.2598822,36.8178918,OK
1257,3405774,Flat & Apartment,For Rent, 3, 3,0,230000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1258,3411301,Flat & Apartment,For Rent, 4, 3,39,85000,Kiambu Road,Fourways Junction,0,-1.2131612,36.8379811,OK
1259,3389238,Flat & Apartment,For Rent, 1,0,0,170000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1260,3413543,Flat & Apartment,For Rent, 2, 2,0,240000,Westlands,Waiyaki Way,0,-1.2685652,36.8057413,OK
1261,3412370,Flat & Apartment,For Rent, 3, 4,66,200000,Westlands,Parklands,Limuru Road,-1.2620531,36.8255104,OK
1262,3403096,Flat & Apartment,For Rent, 1, 1,67,85000,Dagoretti North,Dennis Pritt,0,-1.286516,36.7988595,OK
1263,3411371,Flat & Apartment,For Rent, 5,0,0,300000,Westlands,Parklands,0,-1.2598822,36.8178918,OK
1264,3410773,Flat & Apartment,For Rent, 4,0,0,150000,Westlands,General Mathenge,0,-1.2539757,36.7996946,OK
1265,3429615,Studio,For Rent, 1, 1,46,13000,Dagoretti North,Naivasha Road,Darajani,-1.2809462,36.7366141,OK
1266,3410035,Flat & Apartment,For Rent, 3,0,0,160000,Dagoretti North,Lavington,0,-1.278937,36.7777984,OK
1267,3410973,Flat & Apartment,For Rent, 2,0,0,100000,Thika Road,0,0,-1.2163932,36.8949246,OK
1268,3374884,Flat & Apartment,For Rent, 3, 3,47,65000,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),-1.2582074,36.7224933,OK
1269,3410817,Flat & Apartment,For Rent, 3,0,0,230000,Westlands,Westlands Area,0,-1.2675001,36.812022,OK
1270,3410980,Flat & Apartment,For Rent, 3,0,0,135000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1271,3410981,Flat & Apartment,For Rent, 5,0,0,170000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
1272,3409135,Flat & Apartment,For Rent, 3,0,0,160000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
1273,3412468,Flat & Apartment,For Rent, 2,0,0,120000,Dagoretti North,Kileleshwa,0,-1.2807389,36.7816864,OK
1274,3410970,Flat & Apartment,For Rent, 1,0,0,80000,Thika Road,0,0,-1.2163932,36.8949246,OK
1275,3408622,Flat & Apartment,For Rent, 2, 2,0,140000,Westlands,Westlands Area,Mpaka Road,-1.2657173,36.8035126,OK
1276,3410408,Flat & Apartment,For Rent, 3, 4,0,250000,Westlands,Parklands,0,-1.2598822,36.8178918,OK
1277,3405774,Flat & Apartment,For Rent, 3, 3,0,230000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1278,3411301,Flat & Apartment,For Rent, 4, 3,39,85000,Kiambu Road,Fourways Junction,0,-1.2131612,36.8379811,OK
1279,3389238,Flat & Apartment,For Rent, 1,0,0,170000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1280,3413543,Flat & Apartment,For Rent, 2, 2,0,240000,Westlands,Waiyaki Way,0,-1.2685652,36.8057413,OK
1281,3412370,Flat & Apartment,For Rent, 3, 4,66,200000,Westlands,Parklands,Limuru Road,-1.2620531,36.8255104,OK
1282,3403096,Flat & Apartment,For Rent, 1, 1,67,85000,Dagoretti North,Dennis Pritt,0,-1.286516,36.7988595,OK
1283,3411371,Flat & Apartment,For Rent, 5,0,0,300000,Westlands,Parklands,0,-1.2598822,36.8178918,OK
1284,3410773,Flat & Apartment,For Rent, 4,0,0,150000,Westlands,General Mathenge,0,-1.2539757,36.7996946,OK
1285,3429615,Studio,For Rent, 1, 1,46,13000,Dagoretti North,Naivasha Road,Darajani,-1.2809462,36.7366141,OK
1286,3410035,Flat & Apartment,For Rent, 3,0,0,160000,Dagoretti North,Lavington,0,-1.278937,36.7777984,OK
1287,3410973,Flat & Apartment,For Rent, 2,0,0,100000,Thika Road,0,0,-1.2163932,36.8949246,OK
1288,3374884,Flat & Apartment,For Rent, 3, 3,47,65000,Westlands,Loresho,Bridgeview Apartments (Bridgeview Park Apartments),-1.2582074,36.7224933,OK
1289,3410817,Flat & Apartment,For Rent, 3,0,0,230000,Westlands,Westlands Area,0,-1.2675001,36.812022,OK
1290,3410980,Flat & Apartment,For Rent, 3,0,0,135000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1291,3410981,Flat & Apartment,For Rent, 5,0,0,170000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
1292,3409135,Flat & Apartment,For Rent, 3,0,0,160000,Dagoretti North,Kilimani,0,-1.29427,36.79937,OK
1293,3412468,Flat & Apartment,For Rent, 2,0,0,120000,Dagoretti North,Kileleshwa,0,-1.2807389,36.7816864,OK
1294,3410970,Flat & Apartment,For Rent, 1,0,0,80000,Thika Road,0,0,-1.2163932,36.8949246,OK
1295,3408622,Flat & Apartment,For Rent, 2, 2,0,140000,Westlands,Westlands Area,Mpaka Road,-1.2657173,36.8035126,OK
1296,3410408,Flat & Apartment,For Rent, 3, 4,0,250000,Westlands,Parklands,0,-1.2598822,36.8178918,OK
1297,3405774,Flat & Apartment,For Rent, 3, 3,0,230000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1298,3411301,Flat & Apartment,For Rent, 4, 3,39,85000,Kiambu Road,Fourways Junction,0,-1.2131612,36.8379811,OK
1299,3389238,Flat & Apartment,For Rent, 1,0,0,170000,Westlands,Riverside,0,-1.2722472,36.8025238,OK
1300,3413543,Flat & Apartment,For Rent, 2, 2,0,240000,Westlands,Waiyaki Way,0,-1.2685652,36.8057413,OK
1301,3412370,Flat & Apartment,For Rent, 3, 4,66,200000,Westlands,Parklands,Limuru Road,-1.2620531,36.8255104,OK
1302,3403096,Flat & Apartment,For Rent, 1, 1,67,85000,Dagoretti North,Dennis Pritt,0,-1.286516,36.7988595,OK
